HOUSEID,VARSTRAT,WTHHFIN,DRVRCNT,CDIVMSAR,CENSUS_D,CENSUS_R,HH_HISP,HH_RACE,HHFAMINC,HHRELATD,HHRESP,HHSIZE,HHSTATE,HHSTFIPS,HHVEHCNT,HOMEOWN,HOMETYPE,MSACAT,MSASIZE,NUMADLT,RAIL,RESP_CNT,SCRESP,TRAVDAY,URBAN,URBANSIZE,URBRUR,WRKCOUNT,TDAYDATE,FLAG100,LIF_CYC,CNTTDHH,HBHUR,HTRESDN,HTHTNRNT,HTPPOPDN,HTEEMPDN,HBRESDN,HBHTNRNT,HBPPOPDN,HH_CBSA,HHC_MSA
20009092,45,50.94288682,1,23,02,01,02,01,03,-1,01,1,NY,36,1,01,02,03,02,1,02,1,01,05,04,06,02,0,200808,01,09,6,TC,50,5,300,25,50,5,300,XXXXX,XXXX
20009216,100,308.45774049,0,91,09,04,02,01,17,-1,01,1,CA,06,2,01,02,01,05,1,01,1,01,05,01,02,01,0,200901,01,09,2,S,750,40,1500,1500,300,20,750,41860,7362
20010016,78,1379.3795945,3,91,09,04,02,02,17,-1,01,4,CA,06,3,01,01,01,05,2,01,3,-1,01,01,04,01,1,200805,02,08,12,C,1500,30,7000,150,3000,40,17000,40140,4472
20010463,3,216.72542481,3,72,07,03,02,01,18,-1,01,4,TX,48,4,01,01,02,04,2,02,4,-1,03,04,06,02,2,200808,01,06,43,TC,300,5,750,150,300,0,750,12420,0640
20010687,63,193.50375794,1,21,02,01,02,01,06,-1,01,1,NY,36,1,01,01,01,05,1,01,1,01,05,04,06,02,0,200903,01,09,6,U,7000,20,17000,5000,7000,5,17000,35620,5602
20010735,70,82.316134781,2,21,02,01,02,01,18,-1,01,5,NY,36,3,01,01,01,05,2,01,3,-1,06,04,06,02,2,200903,01,04,12,TC,50,20,300,150,50,5,300,35620,5602
20010780,21,702.32511522,1,51,05,03,02,01,05,-1,01,1,GA,13,1,01,01,01,05,1,01,1,01,02,01,05,01,0,200902,01,09,4,TC,300,20,750,150,750,20,1500,12060,0520
20011077,24,487.64856696,1,72,07,03,02,01,11,-1,01,1,TX,48,1,01,01,02,05,1,02,1,01,05,01,04,01,1,200902,01,01,5,C,3000,30,7000,750,1500,20,7000,19100,1922
20011134,79,20.206813618,2,52,05,03,02,01,06,-1,01,2,NC,37,2,01,01,02,04,2,02,2,-1,03,01,02,01,0,200812,01,10,12,C,1500,60,3000,3000,3000,70,3000,XXXXX,3120
20011237,29,341.54358287,3,21,02,01,02,01,06,-1,01,4,NY,36,2,01,01,01,05,3,01,3,-1,01,02,06,01,2,200804,02,06,10,TC,300,30,300,150,750,20,1500,XXXXX,5602
20011376,10,479.68284168,2,72,07,03,02,03,18,-1,01,4,TX,48,2,01,02,02,05,2,02,1,-1,05,01,01,01,1,200805,02,04,9,C,3000,5,7000,150,3000,5,7000,26420,3362
20011590,53,96.358621803,1,74,07,03,02,01,04,-1,01,1,TX,48,2,01,04,04,06,1,02,1,01,03,04,06,02,0,200901,01,09,7,TC,50,20,50,25,50,30,50,XXXXX,-1
20011901,35,513.74795985,3,11,01,01,02,01,18,-1,01,4,NH,33,3,01,01,01,05,2,01,2,-1,03,01,01,01,1,200808,02,06,14,TC,300,40,750,150,750,40,1500,14460,1122
20012207,65,1583.5701327,1,91,09,04,01,07,-8,-1,01,2,CA,06,0,02,03,01,05,2,01,1,-1,05,01,05,01,0,200901,02,02,4,U,7000,70,17000,3000,7000,70,17000,31100,4472
20012364,31,166.36222217,3,92,09,04,02,01,18,-1,01,3,CA,06,3,01,01,02,04,3,02,3,-1,03,01,04,01,3,200901,01,08,9,S,1500,50,3000,3000,1500,70,3000,41740,7320
20012467,71,487.9180098,2,52,05,03,02,01,05,-1,01,2,FL,12,2,01,01,02,04,2,02,2,-1,07,01,04,01,0,200903,01,10,5,TC,300,30,1500,750,300,30,750,45300,8280
20012533,89,1223.2662973,2,24,02,01,02,01,05,-1,01,2,NY,36,2,02,03,04,06,2,02,2,-1,01,02,06,01,1,200903,01,02,6,C,1500,40,3000,3000,3000,40,7000,XXXXX,-1
20012757,66,94.101623972,3,52,05,03,02,01,10,-1,01,6,NC,37,3,01,01,02,04,2,02,6,-1,01,01,02,01,3,200804,01,06,40,TC,300,5,300,75,300,5,750,XXXXX,3120
20013174,42,388.97897323,1,72,07,03,02,01,13,-1,01,1,TX,48,1,01,01,02,05,1,02,1,01,04,01,04,01,1,200812,01,01,7,C,1500,20,7000,1500,750,30,3000,19100,1922
20013875,84,1853.4662051,2,72,07,03,02,01,-7,-1,01,2,TX,48,2,02,03,02,05,2,02,2,-1,06,01,04,01,2,200903,01,02,7,U,7000,90,7000,5000,7000,95,7000,26420,3362
20013987,56,147.52722669,2,52,05,03,02,01,15,-1,01,5,VA,51,2,01,01,02,04,2,02,3,-1,03,01,04,01,1,200904,01,04,20,C,1500,30,7000,5000,1500,20,7000,47260,5720
20014135,29,3319.253082,2,32,03,02,02,01,11,-1,01,2,OH,39,3,01,01,02,04,2,02,2,-1,04,04,06,02,2,200807,01,02,9,TC,300,5,300,75,300,5,300,17140,1642
